command        vcftools_s     ours_s   speedup  output
freq                85.76       1.87     45.9x  IDENTICAL
counts              85.40       1.80     47.4x  IDENTICAL
het                 96.09       2.11     45.5x  IDENTICAL
hardy               93.54       2.13     43.9x  IDENTICAL
missing_site        80.74       1.77     45.6x  IDENTICAL
missing_indv        78.52       1.86     42.2x  IDENTICAL
site_pi             89.31       1.90     47.0x  IDENTICAL
window_pi           86.45       1.93     44.8x  IDENTICAL
tajimad             85.92       1.89     45.5x  IDENTICAL
fst_site            83.07       1.77     46.9x  IDENTICAL
fst_window          83.10       1.78     46.7x  IDENTICAL
